stage,type,presenter,content
1,claim,韓國瑜,"謝謝主持人，蔡總統、宋主席，各位在場的嘉賓，各位所有電視機前，全國海內外所有的好朋友，各位親愛的同胞。

今天站在這裡參加唯一的一場電視辯論會，我特別用了這條領帶，對我意義重大，這是我們台北農產公司，的領帶。將近三年前，我們在台北農產公司真的非常快樂，照顧好六百個員工，照顧好幾十萬的農民，我們台北農產的員工，一年將近20個月的薪水，所有賺的獎金發給勞工。

幾十萬的農民，有空來台北農產公司，大家看看自己拍賣的價格，大家喝酒聊天唱歌，那真的是一段最快樂的時光。

為什麼用這條領帶？人不能忘本，人不能忘根。飲水思源，吃果子拜樹頭，謝謝農產公司給我這麼好的、甜蜜的回憶。

在這裡要特別報告高雄市的市民朋友，人不會忘本，韓國瑜不會忘根。謝謝高雄市民朋友給我這個的機會擔任高雄市長。一年來這麼多人來高雄觀光旅遊，大家對高雄好奇，對高雄市長韓國瑜，覺得是很個神奇的市長，對高雄市民280萬，覺得高雄市民是很勇敢的市民。

這麼多觀光客、投資客來到了高雄，包括日本第一大的建設公司大和建設，都來高雄投資了60億新台幣，蓋商業大樓。高雄市民朋友，請放心，韓國瑜不會忘本，也不會忘根，一個人忘了根、忘了本，做人的基本價值都沒有了。

即使我選上中華民國的總統，我還是會待在高雄一個星期三天，而且會花很多時間到屏東、台南、嘉義、雲林去看。為什麼？

第一個，對我對高雄市民有承諾，第二，整個台灣南部的生命力沒有放出來，整個南臺灣最多的優勢沒有挖掘出來，太可惜，所以未來一定要南北一起發展，帶動中台灣、帶動全台灣的經濟。

我不會像民進黨蔡英文總統，離投票還有二十多天，突然宣布良心發現，準備開發台灣的南部，大南方，這是不負責任的。因為蔡英文總統已經幹了三年半的總統，到了投票25天的時候，告訴，南方、台灣南部的鄉親，我準備幫你們大開發。問問高雄林園的鄉親，蔡英文總統承諾的捷運做了嗎？幫助陳其邁輔選市長，我給你們一條捷運，選完了，拍拍屁股走了，一毛錢不給。

親愛的高雄市民鄉親，請放心，我不會離開高雄的，我再承諾一次，我永遠不會忘本。

最近三場政見會，我終於發現，所謂蔡英文總統的民進黨，口口聲聲愛台灣、愛主權，我發現最大的台灣賣台集團，居然是民進黨，不可思議。

蔡英文總統用的四個欺騙，在騙2300萬台灣人民。

第一個欺騙，欺騙台獨份子，台獨份子幾十年追求台獨，把希望跟選票投給你，蔡英文總統，你騙了他，你從頭到尾不敢喊台灣獨立萬歲。

第二個，你騙了共產黨。你民進黨的立法委員，這麼多人跑到中南海和北京高官喝酒吃飯唱歌，回到台灣它是罵中國大陸，你騙了共產黨，你為什麼要唱我們都是一家人？你民進黨立委去大陸喝酒，你一定要唱這首歌嗎？你唱完歌回來以後，開始罵人家。你應該唱甚麼歌？我現在就告訴蔡英文總統跟民進黨。

你們這些立法委員，到大陸跟人家喝酒言，喝酒把歡，你應該唱，其實你不懂我的心，這是童安格的，大家記得這首歌嗎？

「（哼唱）其實你不懂我的心⋯」你不懂台灣人的心。台灣人追求自由民主，你要用這首歌代表台灣人心願。你居然唱我們都是一家人。

第三個你欺騙誰？你欺騙香港人。連香港大學學生會會長，都向蔡英文強烈抗議。香港抗中大量流血，蔡英文總統你為香港做什麼？香港人流血，你的選情在補血。你的選票是奠定在香港人流血身上，香港大學生強烈跟你抗議。你原來，是在剝削它們的價值。

第四，你欺騙台灣人，你說你最保護台灣主權，你絕對不用台灣的主權換大陸的經濟，結果，你們的陽信銀行薛凌立法委員，他的兒子何志偉立委，2013年陽信銀行到上海去開，他說了甚麼話？吃飽肚子最重要。你們不是在用台灣的主權換經濟嗎？

你們現在提名新竹市的立法委員，叫做甚麼？叫做弓長張，張姓的立委，到中國～大陸的湖北武漢註冊公司生物科技，登記甚麼？中國台灣。

你不是正在用台灣主權換經濟利益嗎？你有處分嗎？2013年你的駐日本大使謝長廷，跑到中聯辦香港，從頭接待，跑到北京，還跟北京解放軍將領，一起談，談什麼不知道。

你要不要對何志偉立委黨紀處分？你要不要對你新竹市民進黨提名的立法委員，居然敢矮化台灣的主權，用中國台灣去登記，你要不要黨紀處分？立刻停止他的黨權，你要不要做？

口口聲聲說我們接受一國兩制，你們做的事情完全在欺騙，欺騙台獨，欺騙共產黨，欺騙香港人，你還欺騙整個台灣人民。

原來民進黨是全台灣最大的詐騙集團之外，還是賣台集團。我這邊都有照片，你們這個做得太大膽了，你們民進黨的立委去唱我們都是一家人吶，你謝長廷居然跟解放軍將領在那邊侃侃而談吶，你回來罵韓國瑜接受一國兩制。你們這個是太過分了。

治國沒有半步，一到選舉就是抹黑對手，收買台灣的媒體，培養網軍，用納稅人的錢，害死了外交官，需要選票，然後告訴台灣人，我最顧主權，你顧了什麼主權？你開除何志偉黨籍，你開除你們自己新竹市提名的張姓立委的黨籍，你開除謝長廷黨籍，我就幫你拍手，否則你維護主權，完全是胡說八道。

我講了很多次，一定維護中華民國主權，一定維護中華民國憲政體制。

哪一個人說韓國瑜不愛中華民國主權，不顧台灣主權，他只是兩種人，第一個，他是傻子，第二個，他是騙子，我們三個候選人在這邊選總統，哪一個不愛中華民國主權，哪一個不顧台灣的主權，連站在這裡的資格都沒有。

欺騙、抹黑、造謠，希望人民愛你投你一票，認同你的政績，你現在讓人民怕你投你一票，用反滲透法，每一個台灣人民脖子上都綁一個炸彈，遙控器在哪裡？在你民進黨手上，你要讓人民愛你去投你，不是人民怕你，希望台灣民眾看清楚。"
1,claim,宋楚瑜,"主持人，兩位候選人，在場的各位貴賓，全國的我們的鄉親父老兄弟姐妹們，大家好。我是中華民國第十五任總統候選人宋楚瑜，要作為一個中華民國的總統之前，我必須要向全國人民宣誓：余必遵守憲法，盡忠職務，增進人民福利，保衛國家。

氣度決定眼界、眼界決定格局，作為我們在台灣這個地方，我們位於亞太地區的中心，總統，就是台灣這條船的船長，要把舵把好。
總統的職務最重要的，就是國防、外交兩岸跟國家安全，總統的第一個要務，就是要保衛國家，來增進人民的福利。
那他就必須首先要衡酌我們國內外的整體的情勢，首先必須要審慎的處理美國、日本、中國大陸，這世界三大強的合縱跟連橫。
我們不要站錯邊，我們不要亂選邊，我們不要當別人的棋子，同時我們要有能力治理好台灣，讓全世界承認，我們台灣人能管理好台灣，增進人民的福祉，把人民照顧好。

國家的領導人要把台灣治理好，必須要做三件大事。

第一，是要維護我們台灣自由民主的價值，讓台灣的人民相信自由民主是可貴的，找回我們人民對於政府的信任，也找回台灣人民對民主政治的信心。

台灣是所有台灣人的台灣，不是哪一個幫派、哪一個特權、哪一些派系或者是哪一家世家，是這些人少數人霸佔的台灣。

第二，要治理好台灣，就是要把我們台灣的產業提升，把經濟搞好，讓人民的生活能夠改善。

第三，就是面對我們全世界所面對共同的，我這幾天所說的，六大危機，我們能夠確實提出因應的對策和方案。

金恩博士曾經說過一句話，他說：如果我做不了大事，我至少能夠把小事做的大氣一點。

If I cannot do great things， I can at least do things a little atmospheric…

首先，蔡政府執政的問題，第一，在2016年同樣的辯論當中，我曾經當面提醒蔡總統，你要小心民進黨不要國民黨化，可是您還是讓派系操縱了我們國家重大的政策。

第二，在那一次辯論當中，您針對人民對馬政府的施政的不滿，您曾經向人民承諾，執政黨不要自我感覺良好，但是很顯然，在台灣，升斗的小民，都對您的執政結果不滿意。

第三，2016年您還說民進黨如果執政不會整碗捧去、整碗捧去（台語），但是結果呢？

第四，最重要的，是蔡總統曾經公開的說，我一個字一個字念給您聽，您說：要終結政治上的惡鬥，國家領導人應該負起最大的責任，

總統的責任，在團結這個國家，而不是像現在這樣，操縱對立來捍衛政權。好像，我今天的稿子，是4年以前你幫我寫的，總統的責任就是不要來操弄族群對立，要團結這個國家。

難道台灣人民只能被藍綠在那邊操縱綁架嗎？

又忙忙地推出反滲透法，如果我們不把權力關進籠子，人民就要小心，權力會把人民關進牢籠。程序的正義有時候比實質的正義還要重要，因為正義不僅是過程，而且是價值。

我在這邊特別也要提，韓市長，
國民黨的不長進，簡直是到了匪夷所思的境界，韓市長，您說您是百年的奇才，坦白講國民黨的奇才還真不少，能夠在短短一年當中，全面的大勝，搞到現在內鬥讓外黨都看不下去。

讓大家覺得，今天難道兩岸的這些壟斷利益的，國民黨的買辦的產業鏈，你曉得有多可怕、多可惡嗎？

被民進黨查到的國民黨黨產，只是冰山的一角，但是真正讓人生氣的是，許多的國民黨的黨產變成了私產。我離開國民黨的時候，國民黨有幾千億的這些財產，說是現在連薪水都發不出來，錢到哪裡去了？

宋楚瑜始終相信，只要產品好，小也能成大事。
我們台灣雖然小，we are small but we are great.

我們能夠創造亞洲的奇蹟、民主的奇蹟、經濟的奇蹟，靠甚麼？
靠我們能夠真正結合我們的智慧，在一起共同奮鬥，

我上次曾經說過，難兄難弟辜負、為難了我的好多無辜的兄弟，那個難現在要改一個字，爛黨、爛兄、爛弟，只問藍綠，不問能力，難道台灣真的要回天乏力嗎？

各位親愛的頭家們、我 e 頭家、您才是台灣的主人啊！不要認為宋楚瑜不會當選，您才決定，要有能力的人才來治理這國家，讓全世界看一看，台灣人可以把台灣管好。

發揮，咱台灣人 e 精神，奮鬥到底，謝謝您。"
1,claim,蔡英文,"謝謝。主持人、提問人、宋主席、韓市長，全體的國人同胞，大家午安，大家好。

再過13天，台灣即將選出，未來四年，帶領，中華民國的總統。我相信1月11號的那一天，全世界媒體都會來到台灣，他們來觀察，來報導，2020年，面對中國的步步近逼，台灣人民會做出什麼樣的選擇？

1月11號那天，我們可以選擇對九二共識、一國兩制妥協，把年輕人的未來整個賭進去，我們也可以選擇民主自由的生活方式，捍衛主權，捍衛中華民國台灣。

這是我第三次參選總統，辯論會對我來說並不陌生，但我此時此刻的心情卻是沈重的。

看完了前三場的政見會，以及剛剛韓市長的申論，我相信不只是我，全臺灣的大多數的人，對於要從韓市長的口中，聽到具體可行的政策，跟政見，已經是不抱任何希望了。前三場的政見下來，我向全體國人同胞，分別闡述了，國家元首的條件，兩岸關係的發展，能源轉型的現況，區域均衡的計畫，司法改革的成果、社會照顧體系的建構、社會安全網的強化，對社會弱勢者的協助，以及國家經濟發展的重大目標。

對照韓市長，他只有一個政見，就是恢復特偵組。國家其他的面向，不管是兩岸的、外交的、國防的、經濟的、社會福利的，他完全沒有提出，任何具體的解決方案。今天的辯論會，我對他的期待也不高，我只希望他，不要，再扭曲事實、再講假訊息，不要再抹黑，不要再信口開河。可是我聽了他剛才的申論跟四個欺騙說，讓我覺得：又來了。這裡，畢竟是總統大選的電視辯論，我們三個人都有責任，為臺灣人民留下一個值得驕傲的，民主選舉的過程。我在前天的政見會提到，每一次的選舉，國民黨就會說，民進黨執政，中華民國就會滅亡。

各位，民進已經執政兩次了，中華民國並沒有滅亡，我們現在選的，就是中華民國第15任的總統。我，不會把國號當作口號，但是我知道中華民國要萬歲，就先要落實國防自主，中華民國要萬歲，要先做好我們的經濟轉型，中華民國要萬歲，就要堅守我們民主自由的生活方式。

人民關心的，不是總統會不會用膝蓋走路，人民關心的，是總統會不會遇到中國，膝蓋就挺不住。這一次的選舉過程中，韓市長跟國民黨很愛批評我說「這個國家」，其實我講，這個國家是要提醒他們，心裡不要都是那個國家。韓市長被問到哪一個國家最危害臺灣的安全時，他第一個時間總是支支吾吾，不敢講出那個國家的名字，我告訴你，那個國家就是中國，我來唸幾段習近平在今年1月2日的原文給全國的人民聽。

習近平說，推動兩岸雙方在一個中國原則基礎上，達成海峽兩岸共屬～同屬一個中國，共同努力謀求國家統一的九二共識。

他又說，和平統一、一國兩制，是實現國家統一的最佳方式，對岸已經講得很明白，很清楚，也很直接。台灣的主權已經面臨重大的挑戰，然而我的競爭對手，還在跟我談非洲的水牛跟豬八戒。

親愛的國人同胞，九二共識裡並沒有中華民國，韓市長在政見會中高喊的那三聲中華民國萬歲，也被中國的央視刪去了。國民黨到底要自欺欺人多久？
中華民國要萬歲，靠的不是九二共識，靠的是團結人民，靠的是堅實的國防，靠的是自主的經濟。這些都是蔡英文一直努力在做的。

一個分裂的台灣，無法面對中國的滲透威脅，這一點我相信，我們兩位競爭的對手都很清楚，我們都是台灣人，我們之間不是沒有共識的可能性，也不是不能對話。剛才宋主席提到的團結，我記得過去的這三年，我曾多次向他請益，我也請託他去參加APEC的領袖會議，他也肯定我這個團結的心情。

只要我們有共同的認知，對未來有共同的方向，沒有人可以欺負我們。我們在第一場的政見會中，我曾經提到，團結台灣必須要有共同的認知。在這裡，我再把四個認知說一遍。

第一，破壞台海現狀的是中國，不是台灣，所以當中國壓迫我們的時候，我們必須一致對外。

第二，中國利用九二共識，正在掏空中華民國，所以我們必須要更加堅定的捍衛主權。

第三，不能以主權交換短期的經濟利益，所以我們要有一條底線，任何人做總統，都不能超越那條線。第三，要警覺中國正在全面的滲透，分化台灣的社會，所以我們必須要把民主的防衛機制做起來、建立起來，例如，我們現在正在討論的反滲透法。

這場選舉一定有輸有贏，如果我們對國家主權沒有一致的想法，那不管誰贏了，國家終究會輸了。

前一陣子，我接到一位香港的年輕人寫信給我，他的信上是這樣說的：我想請求台灣人民，不要相信中共，不要相信親共的任何一個官員，不要落入中國的金錢陷阱。你們經歷過二二八事件，經歷過了白色恐怖時期，也看到香港的下場。

他又說，所以希望各位能夠放下各自的政黨，跟政黨的包袱，好好團結，一起抵禦中國的文攻武嚇，也請好好的想想子女的未來，不要再犯上同樣的歷史錯誤。他很擔心台灣的下一代，所以他說：等20年後他們長大了，需要讓他們走上街頭，經歷一樣的事情，這些結局，我們沒辦法再為你們再示範一次。

這封信我反覆的看了好幾次，心糾結了好幾下，尤其是結尾，他說:「我們沒有辦法再為你們示範一次。」語重心長，也字字血淚。把信讀給大家聽，不是為了要談亡國感，而是要向所有的台灣人說，1月11號，我們手上的這張選票，可以決定我們今天的民主自由生活的方式，是不是可以繼續下去，全世界都在看台灣，1月11號怎麼做？謝謝大家。"
2,question,中國時報副總編輯 白德華,"三位候選人好。

那個，國防部2020年，他整個編列了三千六百三十億的預算，那2017到2020年三年，我們對外的重大軍事採購也達到六千六百億。

請問三位候選人，現在大筆資金投入國艦國造，國機國造，這個部分歐洲的，有能夠電戰跟動力系統的，我們又，他們又拒絕給我們這邊技術轉移，那請問如果我們自製能力不夠，技術轉移又不行，這個部分會不會以後變成一個大錢坑？

另外，我想請問三位候選人：您覺得我們主要的假想敵是誰，次要假想敵是誰，那，如果日本佔領我們釣魚台，菲律賓驅趕我們的漁民，那他們算不算假想敵？

那如果您認為中國是最大的假想敵，那請問中國現在的國防實力跟美俄同級，那另外，他每年的軍事預算大約超過我們15倍，那，未來，那，面臨到這個部份，台灣的勝算在哪裡？

那面對對岸的國力崛起，國際現實對我不利，那這個部分的話，您認為台灣如何才能建立一個務實有效的國防安全政策？謝謝！"
2,answer,韓國瑜,"謝謝答詢。

剛剛回覆一下，宋楚瑜主席講國民黨太爛，就是國民黨爛，所以國民黨下台啦。我這輩子第一張票，投的是宜蘭林義雄的太太方素敏女士啊，我是國民黨提民的總統候選人，如果國民黨做得不好，國民黨做得爛，國民黨就應該下台，特別跟宋主席回答。

第二跟蔡英文總統回覆。你講得這麼多的政策，國防、內政、外交、主權，在三場政見發表會，你認為你我比較豐富，錯！你是讀稿機，你把它唸出來的，是你的幕僚寫完，你照著唸就好了，其實工讀生的表現會更好，丹田有力，聲音清脆，一樣唸，你沒有用情感，沒有中心思想。

你看韓國瑜的發言，兩隻眼睛炯炯有神，我有中心思想，我有膽量，我敢為我的政見來負責，你沒有。

所以，只是你文章做的好，講的多而已，請不要搞錯了。

國防最高的原則，戰爭沒有贏家，和平沒有輸家。

古今中外所有打仗的歷史告訴我們一件事情，只要戰爭，十八歲到二十四歲的青年人，大量死亡，能夠避戰，才是最高明的中華民國的總統。

第二，我們人越生越少，未來的國防政策，韓國瑜當總統，一定發展無人化、智慧型、小而美，但是有絕對嚇阻力的。

第三，沒有堅定的國防，我們推展兩岸關係，我們推展世界和氣生財關係，所有推展東南亞，所有各方面的活動以及各種商務活動，各種所有相關的，我們底氣不夠，一定要有一個堅定的國防。

非常感謝美國，七十年來，對中華民國國防的支持，這一點是真的要感謝，未來我們一定會重視國防，絕對不會像民進黨，搞一個國艦國造慶富案，到現在掏空台灣納稅人325億，弄得不清不楚，蔡英文總統，您用的人旁邊貪官污吏太多。

沒有乾淨的政治就不會有清廉的執政。多少人用這些名義在裡面大撈特撈。你的國防政策事實上太多人在裡面貪汙了。韓國瑜不一樣。"
2,answer,宋楚瑜,"謝謝白先生剛剛所提出的問題。我們的國防應該從幾個不同的層面來處理。

第一，我們必須要有自製和自己內部發展的基本國防的這些武器和戰力。

第二，我們也需要外購，但是，我跟韓市長同樣的軍人子弟出身，那就是，國家領導人最重要的是，要有戰略的思維。我們要避戰，而不是挑戰，但是我絕不畏戰。我就是那一個被兩位總統派到美國採購我們F16的那個人，而且成功地買到了。但是坦白講，我們今天非常嚴重的，我們想買的，人家不賣給我們，人家把不要的東西賣給我們，價錢又非常貴。
因此在這樣的情況之下，我們對於這些採購和我們自有的國防能力，要特別，要自己，要了解，我們需要什麼，我們要發展什麼。

第二個，您剛剛所說的假想敵，我們真正的假想敵不一定在外面，而且是在我們在內部自己的分化。因此，我們不要去相信美國是我們最好的朋友，我就是，美國要跟我們在最後一天要去跟我們斷交的時候，我們跟他還有中美協防的條約，但是，不到24小時它就跟我們斷交。因此，我們真正要相信的，是人民對於自由民主價值的信心，而馬英九總統對我們國軍最大的傷害，就是沒有任何配套地把軍法給他廢掉。一個部隊沒有紀律打什麼仗？我們的部隊，如果沒有一個對於自己民主自由的信心，沒有他的價值維護，所以因此，做總統，各方面，精神層面、物質層面和戰略層面，應該共同要考量。"
2,answer,蔡英文,"謝謝主持人，謝謝提問人。

對於國防這個議題我應該是所有的民選總統當中，對我們的國防議題著力最深，也最關注我們的國防。

我們國艦國造、國機國造，我們還有自主研發很多現代的科技的武器。有些是可對外說明的，有些呢我們也必須要保密。國艦國造是一個現在進行式，我們很多的軍艦，還有海巡艦艇，都是由我們的廠商來進行製造、建造。

至於你講的這個潛水艦，我們也克服了很多障礙，設計圖已經完成了，我們建造潛艦的廠房現在正在蓋。我們很多的事情不一定有能力，也可以對外來說明。但是我們可以告訴你，設計圖已經完成了，現在正在建造當中。國機國造，高級教練機的原機已經出現了，那麼，換句話說，這一些不但可以強化我們戰力的自主，也可以帶動我們相關產業的發展，對我們南台灣跟中台灣的經濟產業的發展是非常重要的。

至於國艦國造這件事情，每一次談到國艦國造跟國防，我們的韓市長都會講到弊案。我要再提醒你一次，慶富案是在馬英九政府時代發生的，不是在我的執政的時候發生的，請您要搞清楚這個事實。

不論我們的假想敵人是誰，我們都要把所有可能的被進犯的可能性來做全面的來防守的策略。那我們的防守策略是經過跨部會、跨軍種的全面防衛策略。

我們的重點在於不對稱的戰爭，在於區域安全機制的參與跟建構，那麼最重要的是我們的民心士氣。更重要的一件事情，我們必須要告訴全世界，台灣有多重要，無論是在產業上、在民主發展上面、在科技上，我們是很重要的國家，是值得全世界的民主國家一起來協助台灣、幫助台灣的國家。

所以，我要再告訴你一次，我是最重視國防的總統。"
2,question,蘋果日報副總編輯 蔡日雲,"總統是國家的領航者，能否帶領國家走出新局，跟他的施政人格密不可分。我要就相關問題就教於三位。

蔡總統，您自詡是最會溝通的總統，您在執政之初也期許您的團隊必須要謙卑。但是過去三年多來，我以勞基法修法為例，勞資雙方都不滿意、怨聲載道，認為溝通不足。執政團隊大量晉用了派系人馬，也遭外界批評黨同伐異，不夠謙卑。請問未來如果您連任，您是否會再修改勞基法，您又會以如何具體的作為挽回人民對您執政的信心？

韓市長，您就任八個月就違背了對高雄市、就請假帶職參選，違背了對高雄市民的承諾，您個人與新莊王小姐的金錢往來，參與的友人也說您的家中事前並不知情。請問您要如何說服選民，您當選之後不會欺瞞選民，也不會違背對台灣人民的承諾？

宋主席，這是您第五次參加總統大選，通常你都是選擇在選前幾個月，才公佈您的意向與動態，不僅時機倉促，甚至還常常面臨的，棄保的危機，請問參選總統對您來說是永不放棄的政治目標，還是您延續政黨生命的手段之一而已？謝謝。"
2,answer,宋楚瑜,"您剛剛所提到的三個問題，我覺得我擔任總統之後，我都會好好去處理。

第一件事情，那就是，對於我們的勞基跟一例一休的問題，很顯然，不僅事前沒有好好溝通，而且這些案子都是由單獨立法委員提出，而沒有經過行政院跨部會的討論。因此，我主張，將來應該是「異業異法」，我們重新要去檢討，我們這一個，關於一例一休的問題。

至於第二個問題，您提到了韓市長，就是，我們必須要說，做人規規矩矩，做所做的承諾，不能放棄。我做省長和做過去從政以來，我所做的承諾，我有一句話，叫做說得到，一定要做的到。

第三，您談到我參選的時機比較晚，嚴格講起來，我必須要對我的整體形勢，要有所了解。我看到國民黨和民進黨所提出的候選人，坦白講，讓人民不放心。

妳可以看的一個民調，非常有意思，20%的人很怕蔡總統繼續連任，而40%的人又非常怕我們韓市長會當選。而對於宋楚瑜的好感跟相信度，卻是最高的。

在這種情況之下，當仁不讓，能夠把44年來，對於國際、對於兩岸、對於我們內部的溝通協調，像您剛剛所說的，我跟跨黨派所有這些我們不同意見的人，或我在執政的時候，跟不同政黨的這些我們的縣市長，是非常能夠了解。

我只講過一句話，我們可以有不同的過去，但是我們卻有共同的未來，因為我們都了解，我們共同的價值是守護台灣民主。謝謝你，提醒我，下次要選，或是做任何事，早點讓大家知道。"
2,answer,蔡英文,"謝謝主持人，在回答您的問題之前，我先回答一下韓市長剛剛提的讀稿機的問題。我們三次的政見發表會，這一次的辯論，您有看到讀稿機了嗎？

我也很盡心盡力的，準備了所有的資料，來向人民報告我的政見，也回答像今天所提出來的問題，還有韓市長、宋先生在政見會所提的問題。

說到謙卑跟勞基法的問題，我在競選的時候，確實有一個政策，叫做週休二日的政策。而一休一例就是要體現這個週休二日。

我記得，我們在立法院提案的時候，這個提案是有經過部會之間的討論，而且是討論過的。這個提案在當時，我們是要落實週休二日，可是國民黨跟其他在野黨主張是兩例，也就是說，這兩天都不可以加班的，後來我們提出了折衷的方案，變成是一例一休，一天可以加班、一天不可以加班，這是當時能夠平衡勞資關係，同時落實週休二日最好的一個策略跟一個政策。

但是我也知道，任何一個政策，它在執行的時候，要經過再檢驗、再檢討、再檢討，所以在整個過程當中，我們現在也要求勞動部，在他們進行勞動檢查的時候，必須要請勞動的檢查員要去了解所有的產業，在執行這套法律的時候，他們有什麼困難，有什麼東西，是沒有辦法能夠調適的，那我們利用我們的行政手段給他們彈性，或是在法律上儘可能的範圍之內也給他們彈性，甚至給他們協助，我們會隨時來檢討，看我們這一套制度的執行，有什麼要隨時精進、隨時改進的。

至於黨同伐異的事情，我想是您言重了。

我剛剛已經舉過一個例子，在過去幾年我常常向宋主席請益，我也請他擔任我的APEC領袖代表，那麼在這其中，我們互動極好，我們也討論了很多的事情。國民黨的縣市長，只要他們有需要協助的，我們都傾全力去協助他們，我們希望給人民帶來更好的建設跟福利。黨同伐異這四個字我想太嚴重了。"
